Precinct,trump,clinton,castle,johnson,stein,moorehead,roque,write-in
C Madison Wd 30,110,716,3,27,36,5,1,9
C Madison Wd 31,145,802,2,20,28,2,0,13
C Madison Wd 32,94,527,0,19,9,0,0,7
C Madison Wd 33,117,643,4,11,14,2,0,3
C Madison Wd 34,105,675,2,18,14,0,0,7
C Madison Wd 35,154,822,1,19,25,0,0,16
C Madison Wd 36,201,791,3,31,13,1,2,11
C Madison Wd 37,220,1086,3,47,28,1,0,11
C Madison Wd 38,557,1779,6,55,26,0,0,31
C Madison Wd 39,84,1232,5,22,51,3,0,12
C Madison Wd 40,97,2067,2,22,88,3,1,21
C Madison Wd 41,91,2200,0,35,58,2,0,19
C Madison Wd 42,57,2252,2,46,74,3,2,28
C Madison Wd 43,27,338,1,16,6,1,1,8
C Madison Wd 44,76,1503,2,35,51,4,0,24
C Madison Wd 45,134,2433,2,76,92,4,1,35
C Madison Wd 46,128,1944,2,72,61,1,0,32
C Madison Wd 47,337,1434,6,102,34,2,1,15
C Madison Wd 48,115,638,2,33,18,0,0,10
C Madison Wd 49,499,1882,2,120,28,0,0,30
C Madison Wd 50,402,1813,2,117,23,3,3,39
C Madison Wd 51,174,1188,2,43,27,0,0,19
C Madison Wd 52,52,493,2,16,16,0,0,8
C Madison Wd 53,281,2479,4,132,47,1,2,38
C Madison Wd 54,166,472,0,48,7,0,0,7
C Madison Wd 55,646,2159,10,239,50,0,2,71
C Madison Wd 56,640,1280,3,121,26,0,3,21
C Madison Wd 57,154,816,2,46,11,0,0,13
C Madison Wd 58,191,751,2,52,14,1,1,17
C Madison Wd 59,331,871,3,85,20,0,2,21
C Madison Wd 60,54,426,1,21,18,1,0,15
C Madison Wd 61,263,1751,4,132,33,1,0,44
C Madison Wd 62,44,746,0,27,8,0,1,5
C Madison Wd 63,145,1519,0,81,23,1,0,14
C Madison Wd 64,90,1245,0,44,18,3,0,12
C Madison Wd 65,189,2258,3,41,43,0,1,27
C Madison Wd 66,287,1910,5,136,36,1,1,41
C Madison Wd 67,85,913,2,38,21,2,0,17
C Madison Wd 68,71,917,2,41,25,0,1,10
C Madison Wd 69,143,1523,4,39,36,1,0,23
C Madison Wd 70,207,836,4,26,20,0,2,13
C Madison Wd 71,219,1177,8,27,16,0,0,12
C Madison Wd 72,42,506,1,6,17,1,0,6
C Madison Wd 73,64,584,0,21,19,2,1,8
C Madison Wd 74,39,380,0,18,6,0,0,6
C Madison Wd 75,163,896,4,39,19,0,2,21
C Madison Wd 76,67,651,4,15,11,0,0,9
C Madison Wd 77,337,1213,4,37,19,1,1,27
C Madison Wd 78,234,1930,0,53,39,0,0,24
C Madison Wd 79,275,2161,4,57,47,1,0,27
C Madison Wd 80,22,157,0,3,2,0,0,0
C Madison Wd 81,145,1356,2,30,18,2,0,29
C Madison Wd 82,91,1155,1,24,18,3,2,8
C Madison Wd 83,138,1242,3,20,19,1,0,12
C Madison Wd 84,211,1420,4,41,27,2,0,27
C Madison Wd 85,168,1364,1,31,18,0,0,26
C Madison Wd 86,227,1602,4,52,31,1,0,22
C Madison Wd 87,376,1512,3,51,23,2,0,31
C Madison Wd 88,392,1377,3,53,14,0,0,27
C Madison Wd 89,312,1507,4,31,11,2,0,31
C Madison Wd 90,135,520,1,21,11,1,0,10
C Madison Wd 91,195,1068,2,32,14,0,1,22
C Madison Wd 92,170,951,5,33,20,1,0,18
C Madison Wd 93,40,224,1,10,2,0,0,2
C Madison Wd 94,145,557,2,16,8,1,2,7
C Madison Wd 95,282,1267,1,50,31,1,1,29
C Madison Wd 96,253,1068,7,49,13,1,1,32
C Madison Wd 97,379,1530,3,102,23,0,0,41
C Madison Wd 98,503,1753,1,115,24,0,2,41
C Madison Wd 99,153,577,2,28,12,1,1,11
C Madison Wd 100,299,1308,2,69,30,0,0,28
C Madison Wd 101,147,622,2,31,10,0,1,11
C Madison Wd 102,124,623,4,17,6,0,0,8
C Madison Wd 103,57,373,2,10,10,0,0,8
C Madison Wd 104,258,1253,5,66,28,3,2,32
C Madison Wd 105,338,1427,5,89,16,3,1,32
C Madison Wd 106,702,1254,6,71,16,0,2,53
C Madison Wd 107,315,874,2,65,6,1,0,16
C Madison Wd 108,209,1253,6,32,24,1,0,23
C Madison Wd 109,318,1287,3,66,27,0,1,32
C Madison Wd 110,294,877,3,46,10,2,1,24
C Madison Wd 111,563,1328,7,77,11,1,1,46
C Madison Wd 112,0,0,0,0,0,0,0,0
C Madison Wd 113,0,0,0,0,0,0,0,0
C Madison Wd 114,0,0,0,0,0,0,0,0
C Madison Wd 115,0,0,0,0,0,0,0,0
C Madison Wd 116,0,0,0,0,0,0,0,0
C Madison Wd 117,0,0,0,0,0,0,0,0
C Madison Wd 118,0,0,0,0,0,0,0,0
C Madison Wd 119,0,0,0,0,0,0,0,0
C Madison Wd 120,0,0,0,0,0,0,0,0
C Madison Wd 121,0,6,0,1,0,0,0,0
C Madison Wd 122,0,2,0,0,0,0,0,0
C Madison Wd 123,0,0,0,0,0,0,0,0
C Madison Wd 124,3,3,0,1,2,0,0,0
C Madison Wd 125,2,2,1,0,0,0,0,0
C Madison Wd 126,0,0,0,0,0,0,0,0
C Madison Wd 127,0,0,0,0,0,0,0,0
C Madison Wd 128,0,1,0,0,0,0,0,0
C Madison Wd 129,0,1,0,0,0,0,0,0
C Madison Wd 130,0,1,0,0,0,0,0,0
C Madison Wd 131,0,3,0,0,0,0,0,0
C Madison Wd 132,0,2,0,1,0,0,0,0
C Madison Wd 133,0,0,0,0,0,0,0,0
C Madison Wd 134,3,8,0,0,0,0,0,0
C Madison Wd 135,0,0,0,0,0,0,0,0
C Madison Wd 136,0,0,0,0,0,0,0,0
C Madison Wd 137,0,0,0,0,0,0,0,0
C Madison Wd 138,0,1,0,0,0,0,0,0
"C Middleton Wds 1-4, 9",722,2137,3,89,42,1,1,57
C Middleton Wds 5-8,441,2092,2,73,41,4,0,28
C Middleton Wds 14-18,638,1888,8,86,34,0,1,41
C Middleton Wds 10-13,687,2610,9,106,36,1,3,50
C Middleton Wd 19-20,0,0,0,0,0,0,0,0
C Monona Wds 1-5,523,2218,5,69,30,4,0,48
C Monona Wds 6-10,527,1927,7,82,30,3,3,25
C Stoughton Wds 1-2,565,1179,5,61,28,2,0,24
C Stoughton Wds 5-6,464,1160,6,54,27,1,1,20
C Stoughton Wds 3-4 12,467,1098,3,37,32,0,1,14
C Stoughton Wds 10-11,0,0,0,0,0,0,0,0
C Stoughton Wds 7-8,611,1156,3,47,24,2,1,20
C Stoughton Wd 9,0,0,0,0,0,0,0,0
C Sun Prairie Wds 1-5,1249,2674,15,160,51,2,1,55
C Sun Prairie Wds 6-9,1320,2509,17,173,39,2,2,72
C Sun Prairie Wds 10-14 2,1168,2631,20,196,48,3,2,63
C Sun Prairie Wds 15-19,1416,2467,11,191,39,0,5,75
C Sun Prairie Wd 20,0,0,0,0,0,0,0,0
C Verona Wds 1 & 5,371,802,0,44,9,2,1,30
C Verona Wds 2-4,564,1456,6,77,33,0,0,45
C Verona Wds 6-9,1048,2614,20,166,38,0,1,88
